complaint,category,priority,department
Sewage overflow in our area every morning. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Garbage is not collected near bridge after rain.,Sanitation,Medium,sanitation
Water overflow near pipeline in 2nd street from last month.,Water Supply,Medium,water
Water supply is not coming near bus stop after rain.,Water Supply,Medium,water
Sewage overflow near junction for 1 week. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Garbage burning smell at main road after rain.,Sanitation,Medium,sanitation
Dog barking and chasing vehicles in my street since morning.,Animal Control,Medium,animals
Lamp post broken in my street since morning.,Street Lights,Medium,streetlights
Power cut behind the apartment for many days.,Electricity,Medium,electricity
Kindly check and resolve the issue near bus stop from last month.,General,Medium,general
Dog barking and chasing vehicles near junction for many days.,Animal Control,Medium,animals
Fire incident reported in 2nd street from last night. Need immediate help.,Emergency,High,emergency
Electrocution hazard near bus stop for many days. Very dangerous.,Emergency,High,emergency
Electrocution hazard near railway gate for 1 week. Very dangerous.,Emergency,High,emergency
Garbage is not collected near hospital from last night.,Sanitation,High,sanitation
Sewage overflow near bus stop since yesterday. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Voltage fluctuation near junction since yesterday. Appliances are getting damaged.,Electricity,Medium,electricity
Manhole overflow near railway gate since yesterday.,Drainage & Sewage,Medium,drainage
Drainage is blocked near market from last month. Water is overflowing.,Drainage & Sewage,Medium,drainage
Stagnant water causing mosquitoes behind the apartment every morning.,Health & Hygiene,Medium,health
Electric pole wire loose in 2nd street every morning.,Electricity,Medium,electricity
Electrocution hazard near bus stop from last night. Very dangerous.,Emergency,High,emergency
Need help regarding civic issue near junction every morning.,General,Medium,general
Mosquito problem is getting worse in 2nd street for 1 week. Dengue risk.,Health & Hygiene,Medium,health
Need help regarding civic issue at main road every morning.,General,Medium,general
Garbage is not collected near market from last month.,Sanitation,Medium,sanitation
Gas leak smell near railway gate after rain. Please respond fast.,Emergency,High,emergency
Accident happened in our area daily. Ambulance required.,Emergency,High,emergency
Stray animals near school near bus stop daily.,Animal Control,Medium,animals
Lamp post broken near railway gate since yesterday.,Street Lights,Medium,streetlights
Need help regarding civic issue at main road since yesterday.,General,Medium,general
Garbage is not collected in 2nd street from last month.,Sanitation,Medium,sanitation
Need help regarding civic issue near hospital daily.,General,High,general
Drainage is blocked near bus stop after rain. Water is overflowing.,Drainage & Sewage,Medium,drainage
Multiple street lights damaged in my street after rain.,Street Lights,Medium,streetlights
Stagnant water causing mosquitoes near junction since morning.,Health & Hygiene,Medium,health
Garbage is not collected near school every morning.,Sanitation,Medium,sanitation
Fever cases increasing due to mosquitoes at main road since morning.,Health & Hygiene,Medium,health
Street lights are off near school after rain. Unsafe at night.,Street Lights,Medium,streetlights
Electrocution hazard near temple for many days. Very dangerous.,Emergency,High,emergency
Accident happened near junction since morning. Ambulance required.,Emergency,High,emergency
Dog barking and chasing vehicles in 2nd street since morning.,Animal Control,Medium,animals
Garbage burning smell near railway gate for 3 days.,Sanitation,Medium,sanitation
Stagnant water causing mosquitoes near bus stop since yesterday.,Health & Hygiene,Medium,health
Voltage fluctuation at main road from last month. Appliances are getting damaged.,Electricity,Medium,electricity
Gas leak smell behind the apartment for 1 week. Please respond fast.,Emergency,High,emergency
Street lights are off near bridge for many days. Unsafe at night.,Street Lights,Medium,streetlights
Low water pressure near junction for 3 days.,Water Supply,Medium,water
Complaint about local problem near school for 3 days.,General,Medium,general
Street lights are off near bus stop from last month. Unsafe at night.,Street Lights,Medium,streetlights
Need help regarding civic issue near school every morning.,General,Medium,general
Need help regarding civic issue near railway gate since morning.,General,Medium,general
Request immediate action near bus stop for 3 days.,General,Medium,general
Garbage is not collected near hospital from last month.,Sanitation,High,sanitation
Power cut near park every morning.,Electricity,Medium,electricity
Low water pressure near hospital daily.,Water Supply,High,water
Complaint about local problem near hospital since yesterday.,General,High,general
Stray animals near school near bus stop from last month.,Animal Control,Medium,animals
Water overflow near pipeline near hospital daily.,Water Supply,High,water
Waste dumped openly near school daily.,Sanitation,Medium,sanitation
Building collapse risk in 2nd street for 3 days. Please check urgently.,Emergency,High,emergency
Garbage is not collected in 2nd street for 1 week.,Sanitation,Medium,sanitation
There is a huge pothole behind the apartment for 1 week.,Road & Infrastructure,Medium,roads
Public issue needs attention near bridge from last month.,General,Medium,general
Stray animals near school near bridge from last month.,Animal Control,Medium,animals
Low water pressure near temple since morning.,Water Supply,Medium,water
Multiple street lights damaged near temple every morning.,Street Lights,Medium,streetlights
Stray animals near school behind the apartment for many days.,Animal Control,Medium,animals
Sewage overflow near hospital from last month. Bad smell everywhere.,Drainage & Sewage,High,drainage
Building collapse risk near market from last month. Please check urgently.,Emergency,High,emergency
Stagnant water causing mosquitoes near bus stop every morning.,Health & Hygiene,Medium,health
Complaint about local problem near bridge for many days.,General,Medium,general
Water overflow near pipeline in our area daily.,Water Supply,Medium,water
Water overflow near pipeline in 2nd street from last night.,Water Supply,Medium,water
Dog barking and chasing vehicles near junction since morning.,Animal Control,Medium,animals
Complaint about local problem in our area from last month.,General,Medium,general
Drain water stagnation in my street daily.,Drainage & Sewage,Medium,drainage
Street lights are off near bus stop since yesterday. Unsafe at night.,Street Lights,Medium,streetlights
Dead animal not removed in 2nd street for many days.,Sanitation,Medium,sanitation
Cows blocking road in 2nd street for many days.,Animal Control,Medium,animals
Accident happened near junction from last night. Ambulance required.,Emergency,High,emergency
Open manhole on the road at main road since morning. Accident risk is high.,Road & Infrastructure,High,roads
Dirty water is coming in tap near hospital since morning.,Water Supply,High,water
Dog barking and chasing vehicles near market for 1 week.,Animal Control,Medium,animals
Drain cover broken near railway gate after rain.,Drainage & Sewage,Medium,drainage
Dead animal not removed near bridge every morning.,Sanitation,Medium,sanitation
Transformer sparking near market since morning.,Electricity,High,electricity
Multiple street lights damaged near market since yesterday.,Street Lights,Medium,streetlights
Sewage overflow at main road since yesterday. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Fire incident reported in our area for many days. Need immediate help.,Emergency,High,emergency
There is a water pipeline leak near railway gate from last month.,Water Supply,Medium,water
Stray animals near school behind the apartment daily.,Animal Control,Medium,animals
Mosquito problem is urgent near school since yesterday. Dengue risk.,Health & Hygiene,Medium,health
Water overflow near pipeline near school for 3 days.,Water Supply,Medium,water
Garbage is not collected near school daily.,Sanitation,Medium,sanitation
Gas leak smell near junction from last night. Please respond fast.,Emergency,High,emergency
